id_1,name_1,WQ1prop
1,Balaka,18.481539
2,Blantyre,4.9458976
3,Chikwawa,24.21875
4,Chiradzulu,12.622308
5,Chitipa,7.8225002
6,Dedza,33.489285
7,Dowa,35.300526
8,Karonga,12.755714
9,Kasungu,22.621176
11,Lilongwe,19.556499
12,Machinga,20.912273
13,Mangochi,26.674688
14,Mchinji,28.948999
15,Mulanje,11.2695
16,Mwanza,22.440001
17,Mzimba,14.965652
18,Neno,27.5875
19,Nkhata Bay,.51199996
20,Nkhotakota,22.720001
21,Nsanje,30.01375
22,Ntcheu,23.583
23,Ntchisi,38.174999
24,Phalombe,12.109231
25,Rumphi,15.076666
26,Salima,28.631819
27,Thyolo,13.539166
28,Zomba,11.380384
